"Name","Status","DisplayName"
"TermService","Stopped","Remote Desktop Services"
"TextInputManagementService","Running","Text Input Management Service"
"Themes","Running","Themes"
"ThunderboltService","Stopped","Thunderbolt(TM) Service"
"TieringEngineService","Stopped","Storage Tiers Management"
"TimeBrokerSvc","Running","Time Broker"
"TokenBroker","Running","Web Account Manager"
"TPHKLOAD","Stopped","Lenovo Hotkey Client Loader"
"TrkWks","Running","Distributed Link Tracking Client"
"TroubleshootingSvc","Stopped","Recommended Troubleshooting Service"
"TrustedInstaller","Stopped","Windows Modules Installer"
"tzautoupdate","Stopped","Auto Time Zone Updater"
"UdkUserSvc_32e6a6a5","Running","Udk User Service_32e6a6a5"
"UevAgentService","Stopped","User Experience Virtualization Service"
"uhssvc","Stopped","Microsoft Update Health Service"
"UmRdpService","Stopped","Remote Desktop Services UserMode Port Redirector"
"UnistoreSvc_32e6a6a5","Running","User Data Storage_32e6a6a5"
"upnphost","Stopped","UPnP Device Host"
"UserDataSvc_32e6a6a5","Running","User Data Access_32e6a6a5"
"UserManager","Running","User Manager"
"ushupgradesvc","Running","Credential Vault Upgrade Service"
"UsoSvc","Running","Update Orchestrator Service"
"VacSvc","Stopped","Volumetric Audio Compositor Service"
"valWBFPolicyService","Running","Synaptics FP WBF Policy Service"
"VaultSvc","Running","Credential Manager"
"vds","Stopped","Virtual Disk"
"vmcompute","Stopped","Hyper-V Host Compute Service"
"vmicguestinterface","Stopped","Hyper-V Guest Service Interface"
"vmicheartbeat","Stopped","Hyper-V Heartbeat Service"
"vmickvpexchange","Stopped","Hyper-V Data Exchange Service"
"vmicrdv","Stopped","Hyper-V Remote Desktop Virtualization Service"
"vmicshutdown","Stopped","Hyper-V Guest Shutdown Service"
"vmictimesync","Stopped","Hyper-V Time Synchronization Service"
"vmicvmsession","Stopped","Hyper-V PowerShell Direct Service"
"vmicvss","Stopped","Hyper-V Volume Shadow Copy Requestor"
"VSInstallerElevationService","Stopped","Visual Studio Installer Elevation Service"
"VSS","Stopped","Volume Shadow Copy"
"W32Time","Running","Windows Time"
"WaaSMedicSvc","Stopped","WaaSMedicSvc"
"WalletService","Stopped","WalletService"
"WarpJITSvc","Stopped","Warp JIT Service"
"wbengine","Stopped","Block Level Backup Engine Service"
"WbioSrvc","Stopped","Windows Biometric Service"
"Wcmsvc","Running","Windows Connection Manager"
"wcncsvc","Stopped","Windows Connect Now - Config Registrar"
"WdiServiceHost","Stopped","Diagnostic Service Host"
"WdiSystemHost","Running","Diagnostic System Host"
"WdNisSvc","Stopped","Microsoft Defender Antivirus Network Inspection Service"
"WebClient","Running","WebClient"
"webthreatdefsvc","Stopped","Web Threat Defense Service"
"webthreatdefusersvc_32e6a6a5","Running","Web Threat Defense User Service_32e6a6a5"
"Wecsvc","Stopped","Windows Event Collector"
"WEPHOSTSVC","Stopped","Windows Encryption Provider Host Service"
"wercplsupport","Stopped","Problem Reports Control Panel Support"
"WerSvc","Running","Windows Error Reporting Service"
"WFDSConMgrSvc","Stopped","Wi-Fi Direct Services Connection Manager Service"
"WiaRpc","Stopped","Still Image Acquisition Events"
"WinDefend","Stopped","Microsoft Defender Antivirus Service"
"WinHttpAutoProxySvc","Running","WinHTTP Web Proxy Auto-Discovery Service"
"Winmgmt","Running","Windows Management Instrumentation"
"WinRM","Stopped","Windows Remote Management (WS-Management)"
"wisvc","Stopped","Windows Insider Service"
"WlanSvc","Running","WLAN AutoConfig"
"wlidsvc","Running","Microsoft Account Sign-in Assistant"
"wlpasvc","Stopped","Local Profile Assistant Service"
"WManSvc","Stopped","Windows Management Service"
"wmiApSrv","Stopped","WMI Performance Adapter"
"WMIRegistrationService","Running","Intel(R) Management Engine WMI Provider Registration"
"WMPNetworkSvc","Stopped","Windows Media Player Network Sharing Service"
"workfolderssvc","Stopped","Work Folders"
"WpcMonSvc","Stopped","Parental Controls"
"WPDBusEnum","Stopped","Portable Device Enumerator Service"
"WpnService","Running","Windows Push Notifications System Service"
"WpnUserService_32e6a6a5","Running","Windows Push Notifications User Service_32e6a6a5"
"wscsvc","Running","Security Center"
"WSearch","Running","Windows Search"
"WslInstaller","Stopped","Windows Subsystem for Linux"
"WSLService","Running","WSL Service"
"wuauserv","Stopped","Windows Update"
"WwanSvc","Stopped","WWAN AutoConfig"
"XblAuthManager","Stopped","Xbox Live Auth Manager"
"XblGameSave","Stopped","Xbox Live Game Save"
"XboxGipSvc","Stopped","Xbox Accessory Management Service"
"XboxNetApiSvc","Stopped","Xbox Live Networking Service"
